CNS,COD_IDENTIFICACAO_UNICA,DAT_INSTALACAO,DSC_BAIRRO_SERVENTIA,DSC_CEP_SERVENTIA,DSC_COMPLEMENTO,DSC_DENOMINACAO_SERVENTIA,DSC_DISTRITO,DSC_EMAIL_SERVENTIA,DSC_END_SERVENTIA,DSC_SUB_DISTRITO,DS_CIDADE,FLG_STATUS,IND_TIPO_SITUACAO,IND_UF,NUM_CNPJ_SERVENTIA,NUM_FAX_SERVENTIA,SEQ_DADOS_SERVENTIA,atribuicoes,cidade,cidade_id,decisao_atual,estado,estado_id,estado_sigla,num_telefone_serventia,num_telefone_serventia_2,responsavel
09.602-4,096024,1985-06-07,Bairro São Cristóvão,76804021,,2º Ofício de Registro de Imóveis de Porto Velho,,contato@segundoriportovelho.com,"Avenida Carlos Gomes, 2581",,PORTO VELHO,1,0,RO,05910963000146,,12,Registro de Imóveis,Porto Velho,17,PROVIDO,Rondônia,1,RO,6933020602,,FRANCISCO JACINTO OLIVEIRA SOBRINHO
09.566-1,095661,1919-08-11,Centro,76801910,,1º Ofício de Registro de Títulos e Documento e Civil das Pessoas Jurídicas,,titulosdoc_pvh@tjro.jus.br,"Rua Dom Pedro II,637, salas 1006/1008",,PORTO VELHO,1,0,RO,04613526000106,6932114122,13,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932114122,,PATRíCIA DE FáTIMA ASSIS BARROS
09.649-5,096495,2001-08-09,CAIARI,76801151,EDIFICIO CENTRO EMPRESARIAL PORTO VELHO,TABELIONATO FACHIN - 3º TABELIONATO DE PROTESTO DE TÍTULOS E DOCUMENTOS,,3protesto_pvh@tjro.jus.br,"RUA DOM PEDRO II, 637, SALAS 505 E 507",,PORTO VELHO,1,0,RO,05752957000108,6932219446,511,Protesto de Títulos,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932219446,,LUCIANA FACHIN
09.567-9,095679,1946-07-30,NOSSA SENHORA DAS GRAÇAS,76804124,CONDOMINIO PORTO VELHO RESIDENCE SERVICE,1º OFICIO DE REGISTRO DE IMOVEIS,,1imoveis_pvh@tjro.jus.br,"AVENIDA SETE DE SETEMBRO, 2140, SALA 01",,PORTO VELHO,1,0,RO,04234225000163,2147483647,865,Registro de Imóveis,Porto Velho,17,PROVIDO,Rondônia,1,RO,6930263048,,DéCIO JOSé DE LIMA BUENO
09.569-5,095695,1982-01-25,CENTRO,76801124,,1º TABELIONATO DE PROTESTO DE TÍTULOS,,fran_bertolett@hotmail.com,"AVENIDA CARLOS GOMES, 1214",,PORTO VELHO,1,0,RO,05865048000186,2147483647,5397,Protesto de Títulos,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932238524,6981608484,ALBINO LOPES DO NASCIMENTO
09.571-1,095711,2004-09-06,CENTRO,76801151,EDIFICIO CENTRO EMPRESARIAL,4º TABELIONATO DE PROTESTO DE TÍTULOS,PORTO VELHO,4protesto_pvh@tjro.jus.br,"RUA DOM PEDRO II, 637 9º ANDAR SL 901/903",LUIZ GUILHERME DE OLIVEIRA COSTA E SILVA,PORTO VELHO,1,0,RO,07038939000194,2147483647,5448,Protesto de Títulos,Porto Velho,17,VAGO,Rondônia,1,RO,6932292135,,FÁTIMA GONÇALVES COSTA E SILVA
09.603-2,096032,1982-01-25,Centro,76801151,Centro Empresarial Porto Velho,2º TABELIONATO DE PROTESTO DE TÍTULOS,,cartprot2pvh@gmail.com,"Rua Dom Pedro II, 637, 9º Andar, Salas 905 e 907",,PORTO VELHO,1,0,RO,05735867000109,6932244402,5621,Protesto de Títulos,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932244402,,FERNANDO PFEFFER
09.572-9,095729,1984-10-07,CENTRO,76801151,LOJA A,CARTÓRIO 2º OFÍCIO DE NOTAS E REGISTRO CIVIL,,carvajal@brturbo.com.br,"RUA DOM PEDRO II, 637",,PORTO VELHO,1,0,RO,84581057000111,,6258,Notas -> Registro Civil das Pessoas Naturais,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932243353,6932114000,HELENA SOARES OLIVEIRA CARVAJAL
09.570-3,095703,2001-08-15,São Cristóvão,76804021,,3º Ofício de Registro Civis das Pessoas Naturais e Tabelionato de Notas,,cartoriogentil@gmail.com,"Av. Carlos Gomes, 2827-B",,PORTO VELHO,1,0,RO,04613523000164,,7300,Notas -> Registro Civil das Pessoas Naturais,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932247444,69992529559,JOSÉ GENTIL DA SILVA
09.568-7,095687,1914-02-04,CAIARI,76801150,,CARTÓRIO GODOY - 1º OFÍCIO DE NOTAS E DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS,PORTO VELHO,1civilenotas_pvh@tjro.jus.br,AVENIDA CARLOS GOMES 900,,PORTO VELHO,1,0,RO,10889982000178,6932244365,7415,Notas -> Registro Civil das Pessoas Naturais -> Registro de Interdições e Tutelas,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932244365,,VINICIUS ALEXANDRE GODOY
09.620-6,096206,1908-03-02,CENTRO,78928000,,REGISTRO CIVIL E DE NOTAS DO DISTRITO DE ABUNÃ,ABUNÃ,cartorio_nova_mamore@hotmail.com,AV. PRINCIPAL 860,,PORTO VELHO,0,0,RO,02176383000189,,7417,Notas -> Registro Civil das Pessoas Naturais,Porto Velho,17,VAGO,Rondônia,1,RO,6992686978,,
09.621-4,096214,1997-02-27,CENTRO,76847000,,REGISTRO CIVIL E DE NOTAS DO DISTRITO DE EXTREMA,DISTRITO DE EXTREMA,cartoriodeextrema@gmail.com,"AV. PRINCIPAL, n° 519",,PORTO VELHO,1,0,RO,02474728000180,,7418,Notas -> Registro Civil das Pessoas Naturais,Porto Velho,17,VAGO,Rondônia,1,RO,6932521708,69999738451,RODRIGO DE BARCELOS TAVEIRA
09.604-0,096040,2004-10-01,Centro,76801117,,Cartório do 4º Ofício de Notas e Registro Civil,,cart4oficionotaspvh@hotmail.com,"Rua Dom Pedro II, nº 1039",Maria Cláudia Cordeiro Mesquita,PORTO VELHO,1,0,RO,02125927000183,2147483647,7473,Notas -> Registro Civil das Pessoas Naturais,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932246442,,IVANI CARDOSO CÂNDIDO DE OLIVEIRA
09.619-8,096198,1922-06-01,NOVA ESPERANÇA,76840000,CAIXA POSTAL 584,OFICIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS DO DISTRITO DE JACI PARANÁ,JACI PARANA,civilenotas_jaci@tjro.jus.br,"RUA MAURICIO RODRIGUES, 1985",,PORTO VELHO,1,0,RO,09407944000152,,10193,Registro Civil das Pessoas Naturais -> Notas,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932366096,,DIRLEI HORN
14.913-8,149138,1997-06-30,Centro,78801151,,Distribuidor de Protesto,,assisbarrosd@hotmail.com,"Rua D. Pedro II, n. 637, sal 1006, 10º andar - Centro Empresarial Porto Velho",,PORTO VELHO,0,0,RO,04613526000106,2147483647,15038,Registro de Distribuição,Porto Velho,17,PROVIDO,Rondônia,1,RO,6932114122,,
14.914-6,149146,1999-03-19,Centro,76801151,,Registro Civil e Tabelionato de Notas do Distrito de Calama,Calama,carvajal@brturbo.com.br,"Rua D. Pedro II, n. 637, Loja A - Centro Empresarial Porto Velho",,PORTO VELHO,0,0,RO,84581057000111,,15039,Registro Civil das Pessoas Naturais,Porto Velho,17,SEM DECISÃO ORIGINAL,Rondônia,1,RO,6932243353,,HELENA SOARES OLIVEIRA CARVAJAL
15.344-5,153445,2011-05-09,Caiari,76801154,,Cartório Distribuidor de Protesto de Títulos,,cgj@tjro.jus.br,"José de Alencar, 325, Salas 04 e 05 - Térreo - Bairro Caiari",,PORTO VELHO,1,0,RO,13706240000158,,15340,Registro de Distribuição,Porto Velho,17,SEM DECISÃO ORIGINAL,Rondônia,1,RO,6932214800,6932219158,AUGUSTINHO LEANDRO DE CARVALHO
15.465-8,154658,2013-02-18,Centro,76801080,Sala 07,3° Ofício de Registro de Imóveis,Porto Velho/RO,3imoveis_pvh@tjro.jus.br,Rua Afonso Pena 161,,PORTO VELHO,1,0,RO,16867132000155,,15513,Registro de Imóveis,Porto Velho,17,SEM DECISÃO ORIGINAL,Rondônia,1,RO,6932242864,,JOãO FERREIRA GOUVêA
00.094-3,000943,1966-06-21,QUINZE,69900901,,2º Tabelionato de Notas e 2º Ofício do Registro Civil das Pessoas Naturais da Comarca de Rio Branco ,,SEPEN2@TJ.AC.GOV.BR,"RUA BOULEVARD AUGUSTO MONTEIRO,810",,RIO BRANCO,0,1,AC,04034872000393,2147483647,750,Registro Civil das Pessoas Naturais,Rio Branco,67,PROVIDO,Acre,2,AC,6832115499,,BELª OFÉLIA SILVA DO VALLE
00.079-4,000794,1981-08-24,Jardim Nazle,69918048,Predio,3º Tabelionato de Notas e 3º Ofício do Registro Civil das Pessoas Naturais da Comarca de Rio Branco,,terceirocartorio.ac.rb@gmail.com,Avenida Ceará,,RIO BRANCO,1,0,AC,24965172000168,,935,Notas -> Registro Civil das Pessoas Naturais,Rio Branco,67,VAGO,Acre,2,AC,6821025446,6821025445,FREDY PINHEIRO DAMASCENO SALGADO 
